account_id,customer_id,account_type,status,balance,currency,opened_date
88a68cb8-481b-4358-9ec2-9aeb891ccd2a,b396099e-a9d7-4b41-a20c-5ca4375909a5,SAVINGS,ACTIVE,,EUR,2017-07-10
dd1d31fb-b352-4a3e-b696-94454c2d3ea2,5ff536a4-fdec-4d2b-8e48-be192b23247c,SAVINGS,ACTIVE,80213.36,EUR,2017-12-11
081f09d6-fad2-47eb-8b4a-d7352acc6bb8,efdf1816-34ef-4f39-8caf-2cc5dadab293,SAVINGS,ACTIVE,,GBP,2025-04-18
e673f954-6049-41b5-9523-a040010ec88a,1dad658f-ff54-4643-b687-1186d7042205,CURRENT,CLOSED,37567.85,GBP,2023-05-28
e358ac8c-b20d-448f-a47d-07827d9de985,ea771c74-9419-4fa0-bdf1-b82c21f766f8,LOAN,ACTIVE,14705.13,EUR,2025-05-13
a65eb8d6-898f-4df8-9072-48fe6e352923,0d9c809f-1491-40cb-ba56-7fa64d7fd02f,LOAN,INACTIVE,13656.72,GBP,2021-09-16
89fde1e9-7256-46ef-b186-c809a4fdff09,1d9be871-c152-4a6f-99a2-956a0968f73a,SAVINGS,ACTIVE,10466.99,EUR,2017-10-13
bf3bfa6f-d384-4a9d-8ea4-1d0ea2721247,14f38043-d4b0-42c7-883a-69e1ebc5d7ae,SAVINGS,CLOSED,11322.26,EUR,2025-07-04
e48cf005-c1e4-4f3b-9e55-bfdf7f753aa3,05e7f79a-5454-4e07-839f-f3900bbee923,SAVINGS,INACTIVE,47683.14,EUR,2020-04-02
3907bfd1-5d9c-4d1c-b725-5f234d4512bb,3b0a9e15-d1e9-40ae-aec1-3e6f0c6c7648,CURRENT,INACTIVE,50.25,EUR,2020-10-06
2fb20df8-9ec5-4803-aa9b-603b29fac84a,386c67ab-2e55-4a58-a4da-4cb97cd087c1,CURRENT,ACTIVE,13018.53,EUR,2017-03-10
5d6d2e4c-47e4-4a2a-b986-57cf5b6ccd4b,5f5077df-a01b-4472-ba3c-50d29093d43f,CURRENT,INACTIVE,44623.21,EUR,2025-06-02
4f0c1149-e5e1-463f-b724-da2ef0b15510,381f6b66-4f26-41d6-b639-5219dbdd6371,SAVINGS,INACTIVE,19515.66,EUR,2022-10-24
35a96053-f220-4378-a420-b49036606d39,1105869d-365c-4783-8069-9a33ea52a3c8,LOAN,ACTIVE,24265.44,EUR,2024-08-01
b856ec7e-63f2-47c4-bdc6-4c67b6c07eeb,c509169a-2396-40d5-918f-0150f54c04bb,SAVINGS,ACTIVE,78263.49,EUR,2017-02-19
2cbc13cd-86a3-4796-abe8-1ee4e3bc336e,35c2e2c7-1f1a-4efc-a155-71748ce82100,CURRENT,ACTIVE,5870.58,EUR,2025-02-19
3e455a09-28b9-44a3-a079-ee8c5f3bfaec,cab79758-7ec1-4a7c-aa74-5ae391fcd02c,LOAN,CLOSED,19578.53,EUR,2018-10-11
ef521af7-5352-4176-8116-8bb6a887125a,6ea36ee9-ea83-426a-987b-e63b53d567c8,CURRENT,ACTIVE,30137.44,USD,2017-01-15
c97cdf93-436e-45da-b275-b9df9065766e,03c9dabc-9b6c-41b7-87cd-916c377d60d5,LOAN,ACTIVE,24144.83,EUR,2025-03-09
dfcbb851-5912-4a63-90a6-80a754e8b815,a484480a-9b94-4964-a5be-cbc60756eab9,SAVINGS,CLOSED,18133.52,EUR,2022-06-13
28b46d4c-f2fc-40b5-9925-9cb386265df3,5fa065e7-5403-47cc-af33-ea641848812e,CURRENT,ACTIVE,19896.75,GBP,2021-12-20
aadea5c0-1089-401b-a5e6-9f223bec13f1,f51001b8-25ee-4a8c-8ac7-6ee0c893054d,CURRENT,INACTIVE,48038.38,EUR,2023-12-24
bbb3b741-8cde-4841-85ed-5e22434c8d26,78c68f71-ebaf-407d-ae45-411fceda98d3,SAVINGS,ACTIVE,65532.79,EUR,2016-11-23
a763c29f-d8e3-409c-bcbb-cab7a4e20954,c6589a65-d003-4edc-a3ae-b2e0451d2c2f,LOAN,ACTIVE,38908.16,EUR,2025-08-22
3c1564d2-1b57-4d94-9e15-89d418e5d281,747cb4ab-8b86-4d0d-a6b2-7b64a22116de,CURRENT,INACTIVE,42372.17,EUR,2020-10-21
ca45ba15-4ccb-4056-8b37-7d2323b691f6,005930ff-b4f4-494f-b181-a301693fda3e,SAVINGS,ACTIVE,88495.83,EUR,2020-10-12
e4f315d7-7ca4-49bf-a3c7-7cae70027d21,49be2aa7-99c3-4531-970a-88f975f02cea,CURRENT,ACTIVE,39102.01,EUR,2017-07-10
ff01a216-43bc-46ee-aea4-ccbb59a2bc13,5f3dd84f-f5fc-4cca-b42e-04df838081d7,SAVINGS,ACTIVE,46787.52,EUR,2025-07-28
b32cd7d4-1b25-4007-9fa2-238090d76871,786535b5-cf3e-4669-9eab-01b1bcb8cc7c,SAVINGS,INACTIVE,35981.49,EUR,2019-01-06
6ab08b99-745f-4fa4-9c94-809aca2bcf56,40ae6fc8-9a50-4b90-a939-4cc212229325,SAVINGS,ACTIVE,64925.54,EUR,2023-03-23
c0e600b1-56e9-435e-a5f5-c68424243b30,55f03e98-581c-4de0-a235-2da1bf84292b,LOAN,INACTIVE,31016.42,EUR,2016-06-03
9254b8af-e65f-4c59-9fbf-e06c73ce918f,316bedc5-4bc6-45d7-8141-5446fb001785,SAVINGS,INACTIVE,92404.1,EUR,2019-02-01
b10f68bd-b398-483c-a13a-e212256deafb,a50a58bf-e1fe-4bef-8ac0-5ac5f2b90903,SAVINGS,CLOSED,78492.42,EUR,2017-04-24
e8cda765-ada3-4394-b4bf-17b3f7d22ec1,07f8c9c0-a4ba-4c73-bb3f-d410c3fe3e4c,CURRENT,ACTIVE,24935.77,GBP,2020-05-28
11bc8f4a-d7f4-4ba7-b6fe-ecc58092be9c,3ffb2b4d-1eff-46b8-b753-497495c26e3c,SAVINGS,ACTIVE,81191.99,EUR,2023-01-22
9c1fbe5a-4f1f-4971-94d7-8c90417c04ee,4b363585-5dce-41f7-9ba8-179fe3375c99,LOAN,ACTIVE,26885.59,GBP,2019-08-05
1c117e77-01aa-4b68-a5c9-c8ae0515fba5,1fb33732-5846-4de2-ae71-1254f438901b,SAVINGS,ACTIVE,2853.24,GBP,2023-12-15
f8f3a7e9-b3d0-4fb8-897b-772e363587f8,fae8cff5-f980-4160-98fe-4c95df1af742,LOAN,ACTIVE,37254.06,EUR,2021-06-17
34eb52e1-e856-4c5e-b8e6-bb809a312c2e,fb8fc25b-0268-4c5b-9d9a-aeb6a8f0117c,CURRENT,ACTIVE,17826.09,EUR,2022-05-22
33f207fa-eabe-4045-8f40-25de1fd0b56c,ee912bd7-9cc6-465d-9580-ea7079efb11f,LOAN,ACTIVE,9652.12,EUR,2021-03-22
748a233c-6ba7-4114-a38d-2a8344d14c81,2771a4d9-4c33-4f60-814f-368fe1483f90,SAVINGS,INACTIVE,70739.39,GBP,2021-05-03
b0fd4df1-1c24-4433-bd46-4281ef5a1fa1,639ca61d-4b15-465e-8736-8421e3a69539,LOAN,ACTIVE,2404.74,EUR,2021-08-05
d81aa3e1-e7c9-440d-a955-05b9df9b8170,574c1252-10d1-4beb-81fd-c5e3eba5bf0e,LOAN,INACTIVE,23288.7,EUR,2022-05-19
c78dd514-9846-4b80-9f8a-5ae01b8fede4,76147d01-60a2-41d6-8bfa-62d14c687097,LOAN,ACTIVE,46809.02,GBP,2019-06-16
27ec321a-02e2-400c-919e-755c1d7dd2d1,a5c20ee1-14c8-479d-893c-7130e4b8f002,CURRENT,CLOSED,4208.88,EUR,2025-07-24
1196e509-0f23-4f7f-8597-22dd4e906d9e,2e413c77-14aa-432e-894e-23c5999216fb,SAVINGS,ACTIVE,83512.7,EUR,2021-10-10
d76b59ef-d1ba-4511-a7b6-623c68b56869,2a4b50af-e01c-4ada-9ce7-c78c3ed7231b,CURRENT,ACTIVE,3240.21,GBP,2025-07-26
0b4b2f56-9f47-45aa-800e-a90fbd391c5b,0461a2ab-0041-470f-9b52-1d722e96028a,SAVINGS,INACTIVE,,EUR,2024-09-02
ffde664d-91fa-4d87-a09a-8bdc72551064,24521366-9e0b-4b46-97ca-5550a2daa66c,SAVINGS,ACTIVE,16288.66,EUR,2026-03-02
9cbe8306-bffb-4030-8893-30cc4ddae674,dc1b5fe3-0f8a-4917-8bc7-dd83d6af1a0b,LOAN,CLOSED,35825.58,EUR,2017-01-31
e59769ae-bf4e-4771-8e60-b6040bf75769,4c8f1b2e-e99a-483b-8fc2-7910370cdd3c,LOAN,INACTIVE,33507.57,USD,2018-04-14
d4b2f2c9-6978-4020-a055-d8dbad546b43,8cb639bc-78d9-4bfb-bb8e-311af2462f9e,LOAN,ACTIVE,44766.17,EUR,2021-10-01
c7502456-8a24-4b3c-bbfc-92d1d08bbe92,0a7fcb0e-8fe2-4e10-82eb-bcd77ee4a4dc,SAVINGS,ACTIVE,76786.55,EUR,2024-02-25
2b08a8ab-4a48-4f6f-be2a-46223c9c1310,9dc08282-8f5d-4ef5-bf63-59e3e5084fc3,LOAN,ACTIVE,45911.47,EUR,2020-05-22
6b75866c-8fc6-4143-8fba-d717f21179d2,7e944623-5b8a-4b52-94f5-e723b631b0a8,SAVINGS,INACTIVE,42670.73,EUR,2017-04-04
0d4f470e-b7d4-435c-bec6-713df96c15f9,641ab522-49f7-4659-bd1e-accd6f582949,LOAN,CLOSED,9702.24,EUR,2023-02-12
33d4aa9c-570a-4bbb-bed5-2e6d72963e0b,05ff46e5-d384-45cc-805a-ba4cde9a7609,SAVINGS,ACTIVE,7544.51,EUR,2016-05-11
c8e2ec2e-ca8f-4632-9b81-167a6a8ab7a3,292ea12c-1152-4443-a5a6-3e4b4f6cf37a,LOAN,CLOSED,14816.04,EUR,2020-01-25
8ffc8076-82b4-4d22-8166-40313cbf1bca,a3ce488d-4523-4331-8bf0-9fdad8c2207a,SAVINGS,INACTIVE,85408.18,EUR,2021-12-10
ab39baf2-efef-4034-99ec-a0dcf87c16a7,179bcd56-46d3-4eda-a2bb-c9d6e011a24d,CURRENT,ACTIVE,9501.07,EUR,2016-06-21
5d86cb3b-02dd-494c-8682-da9459818f59,2356a250-9f04-4a23-a59a-b821f8d2f8a0,CURRENT,INACTIVE,2336.46,EUR,2019-09-07
103395dd-f184-403a-aa78-ede2ebf294db,2e1101d7-1931-450a-a485-6875353e3403,LOAN,CLOSED,19886.38,EUR,2016-09-15
f4effcbb-406b-4452-b94b-42c7b9fda360,41c0a417-fed9-4efa-95e5-c4d1ed582be2,SAVINGS,INACTIVE,56459.0,EUR,2020-08-15
ee7f0d38-fb60-4a50-9b8b-cae51d8fdfe0,bb7c978f-1ebc-46ad-baf4-cbf2c7048e35,SAVINGS,CLOSED,33926.62,EUR,2018-05-15
5c3c54ed-89a8-4158-830d-c3053602dbf6,92f90544-3acc-44c0-a8dd-247f1798eaba,SAVINGS,ACTIVE,44481.17,EUR,2017-05-21
0a61b4aa-c9ec-49bd-8e1c-1174deec0a6e,5968f462-4b52-4f26-ab5e-5e3cb8aa94af,CURRENT,ACTIVE,19573.7,EUR,2017-08-21
f00a03cd-d8cb-4611-9381-34bfd542fd31,7b903e26-a2c0-4268-9f17-c38fb7559690,LOAN,INACTIVE,8108.48,EUR,2021-02-16
0e1cbfd8-0611-433f-9cf1-c0a86ae9466d,ad0666d2-b6bd-4589-ad66-af3f4f8bd89e,SAVINGS,CLOSED,50272.83,EUR,2020-07-21
fdaffd69-c637-415a-acf1-d5fe737a4901,255bc0cd-a35a-41e6-b66c-db100b14fdf8,LOAN,CLOSED,5317.46,EUR,2016-05-15
cdcec627-6c56-496d-a0cf-374f4bbb1f80,43c800d8-48ac-4fe3-a895-83d76cea5547,SAVINGS,ACTIVE,,EUR,2017-12-03
0269b5a3-f3e4-455d-ab06-bca016f23ed5,08ce3c44-121d-4a80-83de-b85adb177507,CURRENT,CLOSED,49566.73,EUR,2025-12-02
45177d01-89bb-4730-b24f-2cb7424492da,025580aa-1075-4d7b-a180-fa0b4b150713,SAVINGS,INACTIVE,35147.82,EUR,2026-02-05
4272e252-4356-4341-ac08-9a0fa1df81ce,fb2e4eef-606a-4b49-8bff-579d328dbdfc,LOAN,ACTIVE,11614.06,EUR,2026-03-17
6c48795b-3579-4bd7-b411-eecfc9f2b287,b1b8f15a-7423-4a42-9d6b-8618172e08d7,SAVINGS,ACTIVE,57919.05,EUR,2025-10-18
c9df7725-8be7-4b9b-97f4-22836e39f680,9b72f208-ea67-49be-a7b8-525724725e35,CURRENT,ACTIVE,40302.9,GBP,2018-12-14
cef82e02-7720-42dd-a3a2-311adf38d1a6,03d81fc5-df5e-42b0-8c92-d87a3129aca6,LOAN,INACTIVE,5724.36,GBP,2024-06-16
cc774671-cdc5-4ee5-871f-0c2ea80e0044,87bca1a4-01f4-4ce4-be2b-15a557d27b67,SAVINGS,ACTIVE,29965.46,EUR,2025-01-07
a22a07b9-77bd-4463-b698-d4927840f177,f6df73b2-9fdd-479f-bf84-91dc73b37e57,LOAN,ACTIVE,38097.43,EUR,2019-01-18
58c09898-7539-4b38-86ef-40653dba55d2,54075c32-fa8b-483a-a3e6-922bab3e0b2a,LOAN,ACTIVE,48511.43,EUR,2016-12-28
1167bdb0-66cc-436f-a3d4-a8116f84327e,0921cddd-6ba9-4935-a1a5-a9c6274b2dcf,SAVINGS,ACTIVE,47518.65,EUR,2018-08-15
78ef8664-ba3f-4606-9530-3ec14a8c8004,b8a2bb36-21ea-4a56-a455-14bb5fe32c2b,LOAN,ACTIVE,16321.24,EUR,2024-07-25
ab798197-bdcb-4795-a8e0-3ab113ad5310,6e750ead-b0bd-46d3-8957-eb9da1aae718,SAVINGS,CLOSED,87664.99,EUR,2018-04-26
0c0c0729-11fa-4da2-b501-da2f44c80eec,b47a76ef-455c-4c64-8b1e-dbe7f5c62923,SAVINGS,ACTIVE,3978.39,EUR,2020-07-16
7ed6ceb6-fd85-484f-b028-2d7b3d36abde,3971499f-bf3f-4935-9d00-484e40e107c9,LOAN,CLOSED,37669.08,EUR,2021-07-14
f473aed9-5133-4403-80fd-161ab294b95b,e3c5de01-af50-4dc9-b715-d8910ef4c857,LOAN,ACTIVE,42467.43,EUR,2018-05-10
44993848-61d3-4ce6-a85f-5811d2d09c22,9311fdd9-a6cb-4902-b90b-3eb3a248e7b6,CURRENT,ACTIVE,24843.24,EUR,2021-08-07
8db56e49-b1f8-4b69-9d38-2e2f21c040de,e0c5e688-9573-4e54-ace9-c3f71d720afa,CURRENT,ACTIVE,3844.31,EUR,2022-11-13
be3e47b6-a73f-400f-8d6c-35a57a5334b2,944f17c7-da9f-4803-a09a-7594cba14b0e,LOAN,ACTIVE,9849.55,EUR,2026-02-04
e1f474a9-34d0-46d1-b290-66380d51bbdd,16b22153-50b4-416f-875d-3f3d1f4006a5,SAVINGS,ACTIVE,51685.18,EUR,2025-07-11
b04cdd98-bc3c-465b-8a0f-4f0640be3f9b,5f90cedc-075c-4fd2-8f3f-e3946dc5d401,LOAN,INACTIVE,47897.94,EUR,2025-03-02
46a4e068-0290-4fa9-99c2-9abaf6ac7237,baf651cd-79d1-43b3-828c-23bd24ad550e,LOAN,CLOSED,29724.84,GBP,2026-04-14
1b8f53de-ba9f-4abf-a651-7af845a8c98a,34fbbb47-828f-4a46-b98f-9bb0d4c0d877,CURRENT,ACTIVE,24038.79,EUR,2025-06-03
16909fed-027a-499d-811d-ed95c7c9319f,64c3e9d6-d90b-4590-a7fe-c47d43b6c715,CURRENT,CLOSED,45800.64,EUR,2018-12-28
e8a07657-5651-4439-b952-d8fe0ed324eb,b3ee1f42-32c7-4272-8a2b-da8139a14b92,CURRENT,INACTIVE,7546.77,EUR,2025-05-07
086bab18-3116-419f-8447-19656e8baa05,c6c96417-e8b6-4bf6-a96c-1f1c43d92a91,LOAN,ACTIVE,46569.15,EUR,2016-08-14
1614aff3-5992-488a-9a0b-b227d5901b89,d407470a-f19f-4d4c-b800-dd064fe5499c,LOAN,ACTIVE,26363.96,GBP,2017-11-17
d2274dd3-50d1-4766-95b6-be2c39cc3362,cccde678-6d3a-421a-8946-6751f2e62587,SAVINGS,ACTIVE,54332.44,EUR,2023-06-19
03bd8f19-ebfa-49d8-b07b-f0412a7b99b8,792c30ba-89b5-460b-9bb3-3d328c14f1e5,LOAN,ACTIVE,24037.99,EUR,2023-09-02
2307dc5e-c289-4515-9901-2a523bcee3e3,345afda2-3c23-4086-ac58-bdcf5b30b608,LOAN,ACTIVE,26624.48,EUR,2018-07-11
6ade8902-89a4-4263-a1e8-dcf20cd7f8a3,3f7c6c03-ce8a-4ad6-bfe0-e9ce3c255110,LOAN,CLOSED,2486.33,GBP,2020-09-27
