transaction_id,account_id,transaction_type,amount,currency,transaction_date,merchant,status
7df83bbc-c392-41cf-bfa8-457a378e6ca2,aac76517-6e1f-4edc-805d-dea42cecb56b,CREDIT,109.81,EUR,2023-05-01T01:46:00.878707,Hanson PLC,COMPLETED
d8ca107f-cc3f-408d-9830-cb8ae6f523bc,d55c9440-0416-4d3f-9ac4-afba7a60b7ac,TRANSFER,308.24,EUR,2023-06-22T20:39:07.693278,"Taylor, Rahman and Lowe",PENDING
b48ec9c8-cf60-4051-b079-586b1742d128,18c8769f-18ba-4b98-ab3d-fe34c41a9411,DEBIT,7721.32,EUR,2024-10-06T05:42:33.540296,King-Wilkins,COMPLETED
4acf6a49-3634-45bc-aee3-959e50b99b82,c86a91ce-c763-4f4d-8498-d7640c403a72,DEBIT,9200.55,EUR,2025-08-25T20:32:40.252770,Turner PLC,COMPLETED
e911cce6-829c-405c-bb0e-4430d6dee564,5452a66c-6fea-4793-be4c-63973932d507,TRANSFER,85.29,EUR,2025-06-16T01:22:40.164508,Young-Connor,COMPLETED
af4ba9b3-7c75-4eaf-9091-fb91b5590b22,b89aa90d-e119-460d-bbdd-31c2cd2793f4,TRANSFER,8812.96,EUR,2024-03-30T23:02:39.847585,Cook-Lowe,COMPLETED
6717bf8e-3611-47b1-8c8a-32051dd31fd8,cd756419-d7fa-4a9d-b83f-ebbfb88ea221,TRANSFER,67.1,GBP,2024-02-02T09:58:20.194498,Sykes and Sons,COMPLETED
2faf2179-8520-4e3d-aedf-c8f94ceee577,bc11c58a-97dc-4792-aa27-96f2efe3f42b,CREDIT,6609.22,EUR,2025-12-28T15:58:58.825216,Gill-Hussain,COMPLETED
9c9a1615-e0a8-42c6-8d8d-51669b331df8,b472fe84-4dcf-40db-88ac-2c561c194fe6,TRANSFER,9090.57,EUR,2025-03-25T22:04:08.706281,"Swift, Thompson and Pollard",COMPLETED
ceac8f71-1dea-4385-b5b2-b72715f808df,c380586d-490f-4251-a3af-bcaf5238643c,DEBIT,8192.75,EUR,2025-10-09T20:23:10.420243,Gibson-Lambert,COMPLETED
